Passengers,Category,Year,Passengers_Count
Embarked,Domestic,2000,9496637.0
Embarked,Domestic,2001,9429251.0
Embarked,Domestic,2002,9885330.0
Embarked,Domestic,2003,10677008.0
Embarked,Domestic,2004,11762318.0
Embarked,Domestic,2005,12680171.0
Embarked,Domestic,2006,12769385.0
Embarked,Domestic,2007,13182782.0
Embarked,Domestic,2008,13773088.0
Embarked,Domestic,2009,14722528.0
Embarked,Domestic,2010,
Embarked,Domestic,2011,
Embarked,Domestic,2012,17950552.0
Embarked,Domestic,2013,21611875.0
Embarked,Domestic,2014,22690187.0
Embarked,Domestic,2015,23085873.0
Embarked,Domestic,2016,24061516.0
Embarked,Domestic,2017,24878045.0
Embarked,Domestic,2018,25080393.0
Embarked,Domestic,2019,27721429.7
Embarked,International,2000,6385026.0
Embarked,International,2001,6280128.0
Embarked,International,2002,6546976.0
Embarked,International,2003,5798883.0
Embarked,International,2004,7472337.0
Embarked,International,2005,8276006.0
Embarked,International,2006,8845639.0
Embarked,International,2007,9786163.0
Embarked,International,2008,10461937.0
Embarked,International,2009,11558871.0
Embarked,International,2010,13784044.0
Embarked,International,2011,
Embarked,International,2012,16189942.0
Embarked,International,2013,19111323.0
Embarked,International,2014,20044987.0
Embarked,International,2015,20177336.0
Embarked,International,2016,22026099.0
Embarked,International,2017,25196175.0
Embarked,International,2018,26371319.0
Embarked,International,2019,27358483.0
Disembarked,Domestic,2000,9617250.0
Disembarked,Domestic,2001,9700713.0
Disembarked,Domestic,2002,10040793.0
Disembarked,Domestic,2003,10718349.0
Disembarked,Domestic,2004,11781952.0
Disembarked,Domestic,2005,12620879.0
Disembarked,Domestic,2006,12599684.0
Disembarked,Domestic,2007,13080408.0
Disembarked,Domestic,2008,13792848.0
Disembarked,Domestic,2009,14667249.0
Disembarked,Domestic,2010,
Disembarked,Domestic,2011,
Disembarked,Domestic,2012,17929340.0
Disembarked,Domestic,2013,21584180.0
Disembarked,Domestic,2014,22655770.0
Disembarked,Domestic,2015,23261742.0
Disembarked,Domestic,2016,24038468.0
Disembarked,Domestic,2017,24861535.0
Disembarked,Domestic,2018,25105859.0
Disembarked,Domestic,2019,27767220.6
Disembarked,International,2000,6164429.0
Disembarked,International,2001,5976756.0
Disembarked,International,2002,6206919.0
Disembarked,International,2003,5865906.0
Disembarked,International,2004,7305477.0
Disembarked,International,2005,8307185.0
Disembarked,International,2006,8826276.0
Disembarked,International,2007,9951362.0
Disembarked,International,2008,10462768.0
Disembarked,International,2009,11344550.0
Disembarked,International,2010,13791313.0
Disembarked,International,2011,15159629.0
Disembarked,International,2012,16107022.0
Disembarked,International,2013,18921144.0
Disembarked,International,2014,19939278.0
Disembarked,International,2015,19839841.0
Disembarked,International,2016,21464624.0
Disembarked,International,2017,24587153.0
Disembarked,International,2018,25875483.0
Disembarked,International,2019,26481623.0
